Time_UTC_Start,open,high,low,close,volume,quote_asset_volume,number_of_trades,base_asset_volume,quote_asset_volume,label
2018-07-21 01:00:00,7238.99,7239.0,7228.0,7228.61,22.065538,159606.95260509,205.0,8.867831,64136.33611865,0.0
2018-07-21 02:00:00,7269.22,7269.22,7260.19,7264.97,13.720179,99673.82498796,119.0,1.946879,14146.31693509,0.0
2018-07-21 03:00:00,7282.37,7286.97,7281.63,7285.69,39.048097,284411.32651543,135.0,22.203251,161729.25920216,1.0
2018-07-21 04:00:00,7280.01,7280.03,7277.91,7280.0,4.598947,33475.97719738,89.0,2.495406,18165.43044865,0.0
2018-07-21 05:00:00,7304.99,7311.28,7304.99,7309.06,61.625041,450303.27890887,262.0,33.550983,245146.77207623,1.0
2018-07-21 06:00:00,7328.94,7335.0,7326.65,7334.99,22.974785,168402.95759263,185.0,17.428133,127755.15174573,1.0
2018-07-21 07:00:00,7340.24,7340.25,7333.0,7335.0,26.263989,192717.87676113,112.0,11.89459,87280.98217035,0.0
2018-07-21 08:00:00,7324.0,7324.93,7319.85,7322.99,9.076008,66443.10161988,177.0,5.340568,39098.58648426,0.0
2018-07-21 09:00:00,7316.12,7316.13,7310.0,7315.34,5.544107,40543.31321663,59.0,1.759219,12869.38970674,0.0
2018-07-21 10:00:00,7326.31,7331.0,7322.17,7330.99,2.563415,18787.04153481,65.0,1.792319,13135.60207058,1.0
2018-07-21 11:00:00,7300.96,7303.79,7299.93,7302.88,34.261733,250174.81870594,103.0,31.811254,232284.77806526,1.0
2018-07-21 12:00:00,7314.18,7320.0,7308.5,7315.01,16.219499,118663.89880769,102.0,5.223475,38225.98251935,1.0
2018-07-21 13:00:00,7337.0,7342.37,7337.0,7342.34,10.396214,76320.40419357,105.0,5.800447,42585.61742314,1.0
2018-07-21 14:00:00,7357.07,7380.0,7352.02,7364.0,66.53864,490279.66759178,326.0,58.405447,430402.63949192,1.0
2018-07-21 15:00:00,7356.24,7357.01,7353.08,7355.79,7.260837,53406.2656224,100.0,4.146246,30498.19872167,0.0
2018-07-21 16:00:00,7394.87,7403.61,7391.56,7399.99,17.800256,131689.39867851,177.0,13.341066,98704.45705876,1.0
2018-07-21 17:00:00,7400.0,7400.0,7394.0,7398.79,21.688194,160409.75332446,138.0,11.578789,85645.88853979,0.0
2018-07-21 18:00:00,7412.75,7418.0,7411.01,7417.65,28.401516,210530.80694034,92.0,9.927502,73598.74455785,1.0
2018-07-21 19:00:00,7433.78,7436.5,7429.94,7432.16,17.963493,133520.47397535,119.0,11.276551,83822.89163083,0.0
2018-07-21 20:00:00,7422.92,7427.47,7422.92,7426.55,4.190427,31119.02657293,96.0,1.62764,12086.83266811,1.0
2018-07-21 21:00:00,7417.91,7420.0,7416.21,7419.99,6.320206,46886.97853173,91.0,3.959371,29375.76497358,1.0
2018-07-21 22:00:00,7404.99,7405.97,7404.99,7404.99,3.324993,24622.75144665,77.0,1.519533,11253.14912153,0.0
2018-07-21 23:00:00,7425.04,7427.82,7424.47,7427.0,32.034957,237894.58001485,68.0,12.197717,90590.58839432,1.0
2018-07-22 00:00:00,7399.25,7404.0,7397.51,7397.53,39.306997,290856.57046876,154.0,22.604952,167279.51511458,0.0
2018-07-22 01:00:00,7444.0,7445.0,7443.99,7444.34,10.95613,81565.99063761,109.0,9.301479,69248.29145494,1.0
2018-07-22 02:00:00,7483.63,7486.0,7482.0,7485.99,15.257158,114189.97785424,149.0,10.001873,74855.35590741,1.0
2018-07-22 03:00:00,7426.57,7430.12,7424.46,7425.16,4.38552,32568.82668055,41.0,2.147941,15954.36048782,0.0
2018-07-22 04:00:00,7422.93,7422.93,7417.78,7418.0,21.639675,160561.81791657,87.0,12.090207,89702.01863591,0.0
2018-07-22 05:00:00,7397.21,7402.94,7397.21,7397.33,16.359032,121035.51933149,77.0,7.793935,57669.4188885,1.0
2018-07-22 06:00:00,7413.69,7414.98,7412.43,7412.44,5.588134,41425.93519422,90.0,2.77323,20559.68282273,0.0
2018-07-22 07:00:00,7399.99,7403.0,7393.95,7393.95,43.904032,324911.36908903,136.0,11.127972,82347.22652237,0.0
2018-07-22 08:00:00,7395.03,7397.13,7393.87,7395.0,5.802446,42909.15681377,103.0,2.776437,20533.69740609,0.0
2018-07-22 09:00:00,7443.44,7443.44,7440.04,7440.05,40.042756,297943.91752573,97.0,16.547239,123127.95590679,0.0
2018-07-22 10:00:00,7436.51,7440.47,7435.44,7438.74,9.327634,69368.96573026,83.0,3.242896,24119.377898,1.0
2018-07-22 11:00:00,7454.64,7455.99,7453.0,7455.34,11.571172,86250.61267076,84.0,6.941509,51744.79939458,1.0
2018-07-22 12:00:00,7446.0,7446.98,7440.0,7440.5,19.290823,143574.23942832,101.0,8.644364,64350.10353601,0.0
2018-07-22 13:00:00,7439.99,7440.0,7436.07,7436.12,8.772465,65241.79006737,57.0,5.772099,42929.96269865,0.0
2018-07-22 14:00:00,7464.69,7470.0,7458.27,7470.0,36.914975,275521.43428131,151.0,25.320886,188990.18807147,1.0
